"source_ip","timestamp","alert_type"
"192.168.1.4","2024-06-15 09:57:04","BENIGN"
"192.168.1.18","2024-06-15 10:04:30","BENIGN"
"172.31.136.102","2024-06-15 10:21:13","BENIGN"
"198.51.100.77","2024-06-15 10:31:14","Brute Force"
"198.51.100.77","2024-06-15 10:34:43","Brute Force"
"198.51.100.77","2024-06-15 10:37:09","DDoS"
"172.31.4.224","2024-06-15 10:50:47","BENIGN"
"10.0.0.16","2024-06-15 10:54:11","BENIGN"
"172.31.76.231","2024-06-15 10:59:30","BENIGN"
"203.0.113.77","2024-06-15 11:00:49","DDoS"
"192.168.1.18","2024-06-15 11:18:29","BENIGN"
"172.31.95.37","2024-06-15 11:32:56","BENIGN"
"10.0.0.3","2024-06-15 11:37:31","BENIGN"
"172.31.55.151","2024-06-15 11:40:26","BENIGN"
"192.168.1.12","2024-06-15 11:48:13","BENIGN"
"172.31.111.202","2024-06-15 11:54:25","BENIGN"
"192.168.1.6","2024-06-15 11:54:56","BENIGN"
"10.0.0.17","2024-06-15 12:02:56","BENIGN"
"10.0.0.6","2024-06-15 12:05:25","BENIGN"
"10.0.0.16","2024-06-15 12:19:39","BENIGN"
"10.0.0.10","2024-06-15 12:22:37","BENIGN"
"192.168.1.18","2024-06-15 12:47:31","BENIGN"
"192.168.1.15","2024-06-15 12:59:45","BENIGN"
"10.0.0.3","2024-06-15 13:10:02","BENIGN"
"10.0.0.4","2024-06-15 13:11:56","BENIGN"
"172.31.85.198","2024-06-15 13:24:00","BENIGN"
"172.16.88.7","2024-06-15 13:37:00","PortScan"
"172.16.88.7","2024-06-15 13:40:02","Brute Force"
"172.31.76.231","2024-06-15 13:40:51","BENIGN"
"172.16.88.7","2024-06-15 13:44:36","Privilege Escalation"
"172.16.88.7","2024-06-15 13:46:45","Data Exfiltration"
"172.31.76.231","2024-06-15 14:06:54","BENIGN"
"10.0.0.6","2024-06-15 14:19:39","BENIGN"
"10.0.0.12","2024-06-15 14:25:25","BENIGN"
"192.168.1.3","2024-06-15 14:27:45","BENIGN"
"172.31.136.102","2024-06-15 14:30:05","BENIGN"
"172.31.85.198","2024-06-15 14:32:37","BENIGN"
"172.31.233.236","2024-06-15 14:56:49","BENIGN"
"10.0.0.22","2024-06-15 14:57:45","BENIGN"
"172.31.26.115","2024-06-15 15:00:30","BENIGN"
"172.31.181.42","2024-06-15 15:01:14","BENIGN"
"172.31.181.42","2024-06-15 15:01:20","BENIGN"
"10.0.0.18","2024-06-15 15:37:11","BENIGN"
"10.0.0.21","2024-06-15 15:39:51","BENIGN"
"172.31.111.202","2024-06-15 15:46:21","BENIGN"
"10.0.0.19","2024-06-15 15:50:30","BENIGN"
"10.0.0.2","2024-06-15 15:52:26","BENIGN"
"172.31.26.115","2024-06-15 15:59:17","BENIGN"
"10.0.0.9","2024-06-15 16:16:22","BENIGN"
"172.31.233.236","2024-06-15 16:19:35","BENIGN"
"10.0.0.23","2024-06-15 17:07:35","BENIGN"
"172.31.157.12","2024-06-15 17:12:31","BENIGN"
"10.0.0.14","2024-06-15 17:12:55","BENIGN"
"172.31.55.151","2024-06-15 17:17:33","BENIGN"
"203.0.113.77","2024-06-15 17:23:08","DDoS"
"192.168.1.17","2024-06-15 17:39:37","BENIGN"
"192.168.1.8","2024-06-15 17:43:59","BENIGN"
"10.0.0.7","2024-06-15 17:44:11","BENIGN"
"10.0.0.11","2024-06-15 17:48:55","BENIGN"
"172.31.111.202","2024-06-15 17:57:48","BENIGN"
"192.168.1.15","2024-06-15 18:01:20","BENIGN"
"10.0.0.18","2024-06-15 18:30:06","BENIGN"
"192.168.1.15","2024-06-15 18:33:32","BENIGN"
"192.168.1.4","2024-06-15 18:57:56","BENIGN"
"104.21.66.88","2024-06-15 19:00:32","DDoS"
"192.168.1.8","2024-06-15 19:00:52","BENIGN"
"172.31.181.42","2024-06-15 19:21:34","BENIGN"
"10.0.0.10","2024-06-15 19:45:24","BENIGN"
"192.168.1.15","2024-06-15 19:45:55","BENIGN"
"192.168.1.11","2024-06-15 19:49:23","BENIGN"
"172.31.136.102","2024-06-15 19:52:03","BENIGN"
"172.31.4.224","2024-06-15 19:53:11","BENIGN"
"10.0.0.11","2024-06-15 19:56:50","BENIGN"
"10.0.0.10","2024-06-15 20:03:04","BENIGN"
"185.220.101.33","2024-06-15 20:05:00","PortScan"
"185.220.101.33","2024-06-15 20:09:32","Brute Force"
"185.220.101.33","2024-06-15 20:11:14","Privilege Escalation"
"185.220.101.33","2024-06-15 20:13:08","Data Exfiltration"
"192.168.1.16","2024-06-15 20:21:02","BENIGN"
"172.31.38.35","2024-06-15 20:23:06","BENIGN"
"172.31.233.236","2024-06-15 20:28:39","BENIGN"
"192.168.1.10","2024-06-15 21:00:17","BENIGN"
"192.168.1.8","2024-06-15 21:10:20","BENIGN"
"172.31.4.224","2024-06-15 21:18:55","BENIGN"
"172.31.85.198","2024-06-15 21:26:20","BENIGN"
"192.168.1.5","2024-06-15 21:34:21","BENIGN"
"10.0.0.21","2024-06-15 21:40:53","BENIGN"
"10.0.0.7","2024-06-15 21:57:34","BENIGN"
"192.168.1.11","2024-06-15 21:58:09","BENIGN"
"10.0.0.15","2024-06-15 22:02:02","BENIGN"
"10.0.0.21","2024-06-15 22:03:50","BENIGN"
"192.168.1.18","2024-06-15 22:05:17","BENIGN"
"10.0.0.12","2024-06-15 22:10:39","BENIGN"
"192.168.1.11","2024-06-15 22:23:44","BENIGN"
"10.0.0.22","2024-06-15 22:34:09","BENIGN"
"192.168.1.11","2024-06-15 22:43:24","BENIGN"
"172.31.111.202","2024-06-15 22:46:03","BENIGN"
"10.0.0.6","2024-06-15 22:48:39","BENIGN"
"192.168.1.8","2024-06-15 22:50:16","BENIGN"
"172.31.111.202","2024-06-15 22:59:39","BENIGN"
"10.0.0.19","2024-06-15 23:07:06","BENIGN"
"192.168.1.13","2024-06-15 23:15:40","BENIGN"
"10.0.0.24","2024-06-15 23:18:14","BENIGN"
"10.0.0.17","2024-06-15 23:20:17","BENIGN"
"10.0.0.19","2024-06-15 23:21:51","BENIGN"
"172.31.55.151","2024-06-15 23:42:16","BENIGN"
"172.31.4.224","2024-06-15 23:46:08","BENIGN"
